Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
POMGNT2		0.301	0.477	0.602	0.602	0.477		0.301	0.000			0.301		0.477		0.301	0.602	0.477	0.000	0.000	0.000		0.301	0.602	0.699	0.000		0.477		0.301	0.000		0.778	0.602	0.301	0.602	0.477	0.602	0.477	0.000	0.699	0.000	0.301	0.477	
POMT2	0.477	0.602	0.000	0.000	0.477		0.000	0.699		0.602			0.477		0.602	0.000	0.602	0.477	0.477			0.301						0.477		0.602	0.778	0.000		0.477	0.477	0.477	0.699	0.000		0.301	0.301			0.477	
PON1	1.000	0.699	0.699	0.602	0.778	0.954	0.477	0.477	1.000	0.778	0.845	0.477	0.602	0.477	0.954	0.778	0.699	0.778	0.954	0.954	0.602	0.477	0.000	0.778	0.954	0.699	0.845	0.778	0.778	0.778	0.699	0.602	0.699	0.000	0.778	0.602	0.778	0.699	0.477	0.602	0.602	0.845	0.954	0.903	
PON2	1.079	1.114	1.000	1.462	1.079	1.146	1.204	1.380	1.176	1.114	1.114	1.146	1.204	1.176	1.255	1.301	1.447	1.114	1.041	1.000	1.176	1.114	1.279	1.000	1.000	0.903	1.362	1.079	1.000	1.041	1.279	0.845	1.114	1.230	1.000	0.954	1.079	0.845	0.845	1.380	1.342	1.041	1.079	1.255	
POSTN	1.079	1.146	1.342	1.230	1.114	1.342	1.176	0.778	1.380	1.322	0.477	1.462	1.342	1.255	1.000	1.230	1.462	1.114	1.041	1.301	1.000	1.230	1.279	1.041	1.079	1.230	1.114	1.176	1.255	1.230	1.204	1.146	1.176	1.079	1.176	1.279	0.954	1.114	1.398	1.398	1.301	1.398	1.398	1.230	
PPIA	0.778	0.954	0.000	0.301	0.845	1.079	0.954	0.477	0.845		0.477	0.477	0.301		0.845		0.000	0.903	0.778	0.845		1.079	0.477	0.602	0.000	0.477	0.845	0.602	0.954	0.845	0.954	0.699	0.699	0.699	0.301	1.000	0.903	1.041	0.845	1.041	0.301	0.477	1.301	1.000	
PPIB	0.699	0.778			0.602	0.602		0.000										0.477	0.477			0.778						0.000	0.845	0.699	0.778	0.477		0.699		0.778	0.602	0.778	0.778	0.778			0.903	0.477	
PPIC	0.602		0.602	1.176	0.699	0.477	1.041	1.255	0.845	1.079	0.903	1.000	0.699	1.079	0.699	1.041	1.255	0.301		0.477	0.000		0.699		0.000	0.845	0.477		0.477		0.699		0.301	0.699	0.301	0.477		0.602		0.477	1.114	0.602	0.778	1.041	
PPT1	1.362	1.301	1.362	1.708	1.301	1.431	1.491	1.447	1.342	1.380	1.398	1.491	1.342	1.415	1.477	1.431	1.398	1.255	1.380	1.568	1.398	1.322	1.415	1.279	1.447	1.279	1.623	1.114	1.146	1.380	1.447	1.301	1.681	1.398	1.322	1.322	1.255	1.279	1.146	1.322	1.462	1.301	1.362	1.505	
PPT2		0.000	0.000	0.000					0.000		0.301			0.477		0.477					0.477				0.477	0.477										0.000						0.301	0.000		
PRCP	1.079	1.146	0.903	1.415	1.176	1.204	1.146	1.322	0.903	1.176	1.000	1.301	1.230	1.279	1.279	1.398	1.176	1.176	0.903	1.176	1.255	0.954	1.114	1.079	1.041	1.000	1.380	1.146	1.041	1.114	1.041	0.903	1.230	1.230	1.146	1.146	1.000	1.000	0.845	1.114	1.431	0.699	0.903	1.176	
PRDX1	0.778	0.477			0.954	1.079	0.000											0.954	0.000			1.146						0.602	1.146	0.954	1.146	0.699		1.255	0.301	0.845	1.000	0.778	0.903	0.301			1.255	0.477	
PRDX2	0.000	0.301		0.000	0.477	0.477			0.000									0.301	0.000			0.477							0.903		0.477			0.477		0.477	0.477		0.699				0.954	0.477	
PRDX3																						0.602									0.477			0.000		0.000		0.000	0.000						
PRDX5	0.000	0.477			0.602	0.778	0.000	0.301							0.301			0.477				0.301					0.000	0.000	0.301	0.477	0.602			0.000		0.699	0.602	0.000	0.845		0.301		0.903	0.477	
PRDX6		0.602			0.778	0.778	0.301								0.301			0.845				0.778					0.000	0.301	0.477	0.301	0.699			0.699		0.477	0.778	0.903		0.301			0.602	0.778	
PRELP	0.477	1.431	1.633	1.748	1.230	1.869	2.068	1.778	1.881	1.778	1.568	1.826	1.633	1.653	1.875	1.591	1.934	1.204	0.903	2.033	1.362	0.699	1.863	1.892	1.771	1.613	1.886	0.778	1.602	0.903	1.041		2.009	1.531	1.146	1.176	1.041	1.146	1.114	1.740	2.100	1.833	1.839	1.756	
PRKCSH						0.000		0.000		0.301	0.301			0.000																				0.778								0.000	0.000	0.602	
PROM1								0.477							0.000					0.477	0.301		0.699	0.000						0.000									0.000						
PROM2				1.000		0.301	0.778	0.845	0.000	0.477	0.602	0.954	0.602	0.000	0.845	0.477	0.903	0.000	0.000	0.602	0.954	0.301	0.903	0.477	0.602	0.000	0.845			0.477	0.778		0.477			0.477	0.301	0.000	0.602	0.000	0.903	0.000	0.477	0.778	
PSAP	1.875	1.778	1.919	2.230	1.881	1.944	2.041	2.097	1.987	1.991	1.940	2.025	1.973	2.045	1.940	2.127	2.064	1.716	1.778	2.017	2.100	1.756	1.982	1.924	2.079	2.033	2.164	1.833	1.826	1.833	1.892	1.763	2.185	2.029	1.851	1.799	1.763	1.851	1.748	1.991	2.158	2.000	1.968	2.090	
PSME1		0.000			0.301	0.301												0.000											0.000	0.000	0.699			0.477		0.301	0.477						0.477		
PTBP1			0.000			0.699	0.301																0.000							0.301				0.000		0.000		0.477					0.000		
PTGDS	0.903	0.903	0.903	1.041	0.954	1.041	0.903	0.602	0.845	1.079	0.903	0.778	0.954	0.903	0.903	1.041	0.778	0.954	0.699	0.903	1.079	0.477	0.699	0.903	0.954	0.903	1.000	0.477	0.903	0.602	0.699	0.477	0.954	0.954	0.602	1.114	0.845	0.000	0.845	1.000	1.041	1.146	0.778	0.778	
PTGFRN	0.954	0.903	0.778	1.380	0.903	1.279	1.255	1.230	1.041	1.146	1.000	1.146	1.230	0.778	1.322	0.954	1.301	1.000	0.903	1.279	0.699	0.954	1.146	0.954	1.079	0.903	1.255	0.954	0.954	0.954	1.000	0.954	1.079	1.230	0.954	0.903	0.954	0.954	0.778	1.041	1.255	1.114	1.000	1.342	
PTGS1	0.000	0.602	0.477	1.591	0.477	1.279	1.380	1.362	1.255	1.613	1.204	1.255	1.301	0.602	1.362		1.322	1.000	0.602	1.279	0.000		1.204	1.204	0.845	1.079	1.491	0.845	1.146	0.778	1.079	0.301	1.079	1.230	0.699	0.778	0.699	0.000	0.000	1.204	1.477	1.114	1.041	1.415	
PTK7	1.362	1.398	1.613	1.633	1.398	1.505	1.544	1.477	1.568	1.643	1.568	1.613	1.633	1.681	1.531	1.633	1.613	1.544	1.362	1.633	1.544	1.322	1.505	1.580	1.477	1.544	1.462	1.447	1.322	1.398	1.462	1.230	1.591	1.623	1.415	1.398	1.447	1.431	1.301	1.544	1.672	1.519	1.505	1.613	
PTMA		0.477			0.845	0.954					0.301							0.903	0.301	0.477		1.000					0.000	0.477	0.954	0.699	0.845		0.301	0.778		0.903	0.954	0.778	0.000	0.699	0.000	0.301	1.114	0.477	
PTPRC	1.398	1.362	1.176	1.342	1.380	1.301	1.447	1.322	1.255	1.342	1.204	1.301	1.342	1.362	1.279	1.380	1.255	1.322	1.176	1.176	1.279	1.255	1.415	1.204	1.000	1.204	1.362	1.398	1.342	1.342	1.380	1.204	1.146	1.342	1.301	1.380	1.342	1.398	1.079	1.462	1.322	1.204	1.176	1.362	
PTPRF	0.477	0.699	0.903	1.176	0.903	1.114	1.114	1.114	0.699	1.204	1.041	1.041	0.778	1.041	0.903	1.146	0.954	0.954	0.903	1.041	0.954	0.477	1.204	0.602	0.699	0.602	1.041	0.477	0.602	0.778	1.176	0.477	0.954	0.954	0.602	0.903	1.079	0.845	0.477	1.041	0.954	0.699	0.477	1.146	
PTPRG	0.602	0.699	0.778	0.477	0.477	0.845	0.954	0.477	0.845	0.845	0.699	0.477	0.903	0.903	0.845	0.903	0.477	0.699	0.000	0.778	0.903	0.301	0.477	0.778	0.699	0.778	0.845	0.000		0.602	0.954	0.477	0.778	0.301	0.477	0.602	0.845	0.477	0.477	0.954	0.477	0.845	0.602	0.845	
PTPRJ	0.954	0.000	0.845	1.146	0.778	0.602	0.903	1.230	0.903	0.903	0.903	1.041	0.602	0.602	0.845	0.903	0.903		0.477	0.903	0.477	0.477	1.079	0.845	0.000	0.477	0.845	0.845	0.000	0.602	0.845	0.477	0.477	0.699	0.699	0.477	0.903	0.602	0.301	0.903	0.954	0.477	0.602	1.230	
PTPRK	0.845	0.699	0.954	1.431	0.602	0.699	0.954	1.230	1.000	0.903	1.041	1.146	1.000	1.000	1.204	1.079	1.176	0.778	0.954	1.041	0.954		1.079	1.146	0.699	0.954	0.778	0.477		0.778	0.699	0.845	1.000	0.778	0.301	1.000	1.176	0.699	0.000	0.699	1.041	0.845	0.477	1.000	
PTPRM								0.903					0.477				0.477							0.000							0.699		0.000												
PTPRS	0.778	0.778	0.778	0.845	0.845	0.778	0.602	0.778	0.845	0.778	0.778	0.778	0.699	0.778	0.699	0.845	0.477	0.778	0.699	0.778	0.602	0.602	0.903	0.778	0.845	0.778	0.903	0.778	0.000	0.845	0.699	0.778	0.778	0.778	0.477	0.778	0.778	0.699	0.699	0.778	0.699	0.845	0.778	0.699	
PTPRU			0.477	0.845		0.000	0.602	0.301	0.301	0.000	0.301			0.000	0.477		0.602			0.477				0.301	0.000	0.301	0.602						0.301	0.301		0.301	0.477			0.301	0.000				
PVR	0.301		0.301		0.477				0.301	0.301	0.602		0.000	0.000		0.477	0.000			0.477	0.000			0.301	0.477	0.000					0.477	0.000		0.301		0.477	0.477			0.000		0.477	0.301	0.000	
PXDN	0.778	0.845	1.000	0.699	0.845	0.778	0.903	0.954	0.903	1.041	0.699	1.079	1.000	1.176	0.954	1.176	0.845	0.903	0.778	0.845	0.903	0.903	1.000	0.954	0.778	0.845	0.699	0.699	0.845	0.778	0.778	0.602	0.602	1.041	0.903	0.778	0.699	0.778	0.477	0.845	1.041	0.699	0.903	0.778	
PXYLP1			0.000	0.477	0.000		0.000			0.000				0.301		0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.477			0.000					0.000		0.477	0.000		0.301	0.477	0.301	0.000	0.000	0.000			0.301	
PZP						0.000			0.477				0.301												0.477		0.477							0.301	0.477		0.301			0.000			0.000	0.000	
QPCT			0.477	0.477			0.000		0.477	0.000	0.477	0.301		0.301	0.000	0.602	0.301		0.778	0.699		0.301	0.477	0.778	0.845	0.301					0.000			0.301			0.301	0.000			0.000	0.000	0.000		
QSOX2				0.477			0.000	0.477	0.000	0.477		0.000			0.301					0.477				0.000										0.000		0.000			0.000	0.000				0.699	
RAN		0.477			0.602	0.602	0.477								0.000			0.477				0.602					0.000				0.301			0.000		0.301	0.301	0.477	0.699				0.000	0.477	
RARRES1		0.301									0.845	0.000		0.000	0.301	0.477											0.602									0.699	0.000	0.000		0.602					
RCN1	0.699	1.079	1.176	1.415	0.845	1.230	1.114	1.176	1.114	1.041	1.204	1.322	0.954	1.415	1.204	1.362	1.279	0.954	0.903	1.146	1.380	0.903	1.230	1.079	1.279	1.230	1.079	0.954	0.903	0.845	0.954	0.000	1.176	1.279	1.041	0.699	0.903	0.778	0.699	1.114	1.491	1.114	1.041	0.954	
RCN3	1.146	1.041	1.342	0.954	0.845	1.146	1.079	1.000	1.000	1.204	1.114	1.114	1.362	1.415	1.114	1.204	1.204	1.176	0.699	1.146	1.000	0.477	1.447	1.204	1.114	1.301	0.954	1.146	1.079	1.079	0.845	0.602	1.000	1.415	0.954	0.845	0.903	1.079	1.114	1.041	1.279	1.114	1.114	0.903	
RNASE6				0.477			0.602	0.477						0.477		0.477					0.301												0.301							0.000	0.301			0.000	
RNF13		0.000		0.000			0.301		0.301								0.000			0.477				0.000			0.000						0.602								0.000				
RPL13						0.301												0.301				0.000									0.477						0.000						0.301		
RPL14		0.301			0.699									0.000				0.477				0.000								0.602	0.477					0.699	0.477	0.477					0.000		
RPL15		0.301			0.000	0.477					0.301							0.301																0.477		0.000		0.477	0.000					0.477	
RPL18								0.000		0.000	0.000		0.000			0.000		0.000				0.000	0.301			0.301							0.000	0.000		0.000						0.301	0.000		
RPL23					0.477																	0.301									0.000					0.301			0.301				0.602		
RPL31	0.000	0.301			0.301	0.477												0.000				0.301							0.602		0.301			0.000		0.477	0.301			0.301			0.477	0.000	
RPL5		0.000		0.000	0.000							0.000							0.301		0.000	0.778						0.000		0.477	0.301	0.000		0.301		0.602		0.301					0.477		
RPL6						0.699							0.000					0.602					0.301								0.000					0.000	0.000						0.477		
RPL8					0.301																	0.301												0.602		0.477							0.602		
RPLP2																						0.477												0.000			0.000		0.000				0.699		
RPN1	1.079	1.000	1.398	1.740	1.204	1.447	1.544	1.732	1.580	1.362	1.380	1.653	1.301	1.580	1.519	1.613	1.672	1.079	1.204	1.663	1.462	0.301	1.663	1.531	1.380	1.431	1.653	0.903	1.230	0.778	0.845	0.602	1.362	1.398	1.230	1.398	1.342	1.230	1.000	1.279	1.763	1.204	1.491	1.505	
RPN2	0.000	0.477	0.477	0.602	0.301	0.477	0.954	0.845	0.301	0.778	0.477	0.602	0.845	0.699	0.845	0.845	0.699	0.699	0.301	0.602	0.477		0.903	0.301		0.602	0.699		0.699		0.000		0.301	0.954	0.000	0.000	0.000	0.602	0.000	0.477	0.845	0.602	0.477	0.778	
RPS2						0.000					0.000							0.000							0.000				0.301	0.000	0.477		0.301			0.301	0.000	0.000	0.000			0.477	0.000	0.602	
RPS20						0.301																0.477									0.000								0.301				0.602		
RPS27A	0.699	0.602		0.602	0.845	0.699	0.602	0.477	0.477	0.477	0.477	0.602	0.477	0.000	0.477	0.477	0.477	0.699	0.699	0.477	0.477	1.000	0.602	0.477	0.000	0.000	0.477	0.699	0.699	0.778	0.778	0.477	0.477	0.699	0.477	0.845	0.778	0.699	1.079	0.477	0.699	0.301	1.079	0.602	
RPS3					0.000	0.000												0.301				0.000							0.000		0.000			0.000		0.602			0.477				0.301	0.000	
RPS3A	0.301				0.301	0.000						0.000		0.477		0.301		0.301	0.000		0.477	0.301	0.301			0.301			0.602	0.000	0.477			0.477		0.477	0.301	0.000				0.000	0.699		
RPS7						0.778														0.000		0.301									0.602			0.000		0.000								0.301	
RPSA		0.000																											0.000		0.301					0.000							0.477		
S100A11	0.301	0.301	0.477	0.000	0.699	0.699	0.301	0.000	0.000			0.000			0.000			0.699	0.602		0.477	0.778	0.477					0.778	0.845	0.477	0.903	0.477		0.778		0.845	0.602	0.699	0.778	0.778	0.301		0.903	0.903	
S100A4		0.699			0.845													0.778				0.699							0.477	0.778	1.079			0.000		0.778		0.903		0.602			0.903		
S100A6	0.477	0.699	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.477					0.477		0.301	0.477	0.477		0.477	0.477	0.477	0.477			0.000	0.477	0.477	0.477	0.602	0.301		0.477	0.477	0.602	0.477	0.477	0.602	0.477	0.477		0.778	0.477	
SAA4																											0.699	0.477					0.301												
SCARA3		0.845		0.699	0.845	0.602	0.477	0.903				0.000	0.699		0.477		1.041	0.000	0.602	0.000	0.000		0.699				0.845		0.000	0.699					0.301		0.301	0.778		0.301	0.301			0.477	
SCARB2	1.708	1.663	1.653	1.924	1.763	1.778	1.892	1.826	1.708	1.833	1.681	1.839	1.732	1.580	1.732	1.857	1.898	1.785	1.763	1.973	1.505	1.556	1.851	1.580	1.613	1.544	1.944	1.959	1.672	1.724	1.886	1.505	1.799	1.826	1.785	1.771	1.681	1.643	1.591	1.716	1.851	1.491	1.732	1.919	
SCG3				0.778																																									
SCN10A								0.477		0.301		0.000	0.000		0.699		0.477						0.602				0.477		0.000					0.602			0.000			0.477	0.000				
SCPEP1	0.477	0.477	0.477	1.041	0.477	0.699	0.699	0.903	0.845	0.903	0.602	0.778	0.845	0.778	0.477	0.845	0.778	0.602	0.845	1.041	0.477		0.954	0.602	0.602	0.699	0.778	0.477	0.477	0.000	0.000		1.041	0.845	0.477	0.699	0.301	0.301	0.000	0.602	0.903	0.477	0.477	0.845	
SDK1				1.176					0.000	0.477			0.845	0.000			0.000						0.699	0.301			0.602			0.602				0.000	0.301	0.301				0.000				0.301	
SEL1L	1.301	1.230	0.903	1.362	1.342	1.114	1.079	1.431	0.778	1.204	0.845	1.301	1.041	1.176	1.114	1.230	1.301	1.176	1.230	1.146	1.255	1.041	1.176	1.000	0.954	0.903	0.954	1.146	0.954	1.322	1.322	1.176	0.778	1.176	1.279	1.301	1.279	1.176	1.041	1.000	1.362	0.845	0.845	1.342	
SEL1L3	1.079	1.041	0.954	0.602	1.041	0.602	0.845	0.699	0.903	1.041	0.477	0.477	1.079	0.699	0.845	0.845	0.477	0.954	0.954	0.778	0.602	0.954	0.699	0.778	0.477	0.845	0.903	0.954	0.301	1.079	0.954	1.041	0.000	1.079	1.114	1.079	1.114	0.954	0.903	1.079	0.778	0.477	0.000	0.778	
SELENOP	1.079	0.845	1.079	0.845	0.845	1.114	1.079	0.778	1.146	1.146	1.079	0.903	1.000	0.845	1.041	0.903	0.699	0.845	1.114	1.114	0.778	0.699	0.903	1.114	1.000	1.000	0.954	0.699	1.000	0.845	0.778	0.845	1.000	0.903	0.903	0.954	1.000	0.699	0.477	1.041	0.778	1.041	0.845	0.903	
SELP								0.602				0.602				0.301																		0.000								0.000			
SEMA3C		0.000	0.000	0.000			0.000	0.000	0.000	0.301		0.477	0.477	0.301	0.477	0.477	0.301			0.778	0.000		0.477		0.000		0.301		0.000												0.477				
SEMA3F				0.477	0.000			0.301	0.602	0.699	0.301	0.000	0.000			0.000				0.477				0.000	0.477	0.301			0.000				0.000	0.000									0.000		
SEMA4B	0.602	0.602	0.845	0.903	0.699	0.301	0.477	0.954	0.845	0.903	0.845	0.778	0.699	0.699	0.477	0.778	0.778	0.477	0.602	0.778	0.778	0.000	0.903	0.699	0.845	0.699	0.477	0.477	0.477	0.778	0.778	0.602	0.845	0.778	0.602	0.477	0.477	0.699	0.699	0.778	0.699	0.778	0.699	0.845	
SEMA4C	0.903	0.845	0.477	0.845	0.903		0.903	0.477	0.477	0.845	0.000	0.699	0.699	0.602	0.778	0.602	0.477	1.000	0.954	0.903	0.477	0.699	0.602	0.477	0.477		0.477	0.903		0.954	0.903	0.778		1.000	0.954	0.954	0.778	0.845	0.602	0.602	0.602	0.000	0.477	0.954	
SEMA4D	0.778	0.477	0.602	0.903	0.477	0.000	0.903	0.903	0.699	0.903			0.778	0.602	0.903	0.602	0.000	0.477	0.477	0.778	0.845	0.477	0.699	0.000	0.000		0.954	0.699		0.845	0.699	0.477		0.778	0.602	0.845	0.602	0.602		0.602	0.845		0.000	0.954	
SEMA5B																					0.000													0.301										0.845	
SERBP1		0.000			0.301						0.301														0.477	0.000								0.301		0.000		0.602				0.000			
SERPINA1	1.806	1.813	1.919	2.217	1.792	2.246	2.307	2.004	2.176	1.991	2.228	2.140	2.068	1.903	2.297	1.903	1.982	1.959	1.903	2.173	1.690	1.623	2.185	2.233	2.049	1.914	2.130	1.699	2.228	1.623	1.944	1.748	2.083	2.049	1.908	1.806	2.000	1.708	1.690	2.130	2.097	2.000	2.210	2.029	
SERPINA10	0.778	0.602	0.000	0.000	0.301			0.602	0.778	0.301	0.778	0.000		0.301	0.301	0.301	0.000	0.699	0.778	0.301	0.000	0.845	0.845	0.602	0.699	0.602		0.477	0.778	0.602	0.778	0.778	0.602	0.000	0.778	0.602	0.903	0.000	0.778	0.301	0.000	0.778	0.602	0.000	
SERPINA3	1.924	1.724	1.924	2.270	1.924	2.204	2.348	2.286	2.207	1.944	2.386	2.199	2.127	1.959	2.346	2.004	2.104	1.881	2.072	2.167	1.863	1.633	2.228	2.365	2.170	1.875	2.204	1.820	2.225	1.681	1.851	1.748	1.968	2.236	2.179	1.845	2.158	1.653	1.756	2.143	2.167	2.004	2.083	2.093	
SERPINA4	1.041	0.954	0.903	1.000	0.903	0.903	0.903	0.954	1.000	1.000	0.778	1.000	1.000	1.041	1.079	0.954	0.778	0.845	1.041	0.778	0.954	0.903	1.079	1.000	1.000	0.845	0.954	0.954	0.954	0.954	0.903	0.954	0.954	1.079	1.000	1.079	0.903	0.954	0.845	1.114	1.041	0.845	0.903	0.954	
SERPINA6	1.079	1.041	1.000	1.255	1.000	1.176	1.380	1.255	1.146	1.176	1.255	1.301	1.322	1.041	1.279	1.255	1.176	1.230	1.114	1.146	1.079	0.903	1.230	1.322	1.230	1.079	1.301	1.322	1.176	1.000	1.079	1.176	1.041	1.322	1.279	1.041	1.176	0.903	0.778	1.255	1.362	1.079	1.079	1.176	
SERPINA7	0.845	0.699	0.845	1.000	0.699	0.845	0.954	0.903	0.954	0.699	1.000	1.000	0.778	0.845	0.778	1.000	1.079	0.845	0.903	0.903	0.778	0.699	0.954	0.954	1.041	0.778	0.778	0.845	0.845	0.477	0.602	0.699	0.954	0.778	0.903	0.778	0.699	0.778	0.699	0.845	0.954	0.903	1.000	0.845	
SERPINC1	1.230	1.114	0.903	1.322	0.954	1.447	1.380	1.301	1.322	1.230	1.301	1.279	1.204	1.079	1.415	1.146	1.362	1.114	1.079	1.462	0.903	0.903	1.415	1.462	1.176	1.146	1.279	0.903	1.362	1.000	1.176	0.778	1.230	1.000	1.342	1.114	1.000	0.778	1.079	1.279	1.544	1.230	1.431	1.230	
SERPIND1	1.204	1.000	0.602	1.114	1.000	1.255	1.146	1.114	1.114	0.903	1.079	1.255	1.255	1.041	1.279	1.041	0.903	1.041	1.146	1.146	1.146	0.903	1.041	1.000	1.041	0.845	1.204	0.954	1.176	1.000	0.954	1.301	1.041	1.000	1.114	1.079	1.079	0.954	0.778	1.230	1.041	0.903	0.954	0.903	
SERPINF2	0.903			0.477	0.477	1.000	1.041	1.000	0.602	0.301	0.845	1.000	0.699	0.301	1.279	0.602	0.699	0.699	0.845	0.954	0.845		1.079	0.845	0.477	0.000	0.477		1.176	0.301	0.477	0.845	0.477	1.000	0.954	0.954	0.954			0.903	0.778	0.778	0.477	0.699	
SERPING1	1.531	1.204	1.580	1.792	1.301	1.778	1.820	1.663	1.699	1.699	1.708	1.826	1.672	1.633	1.756	1.602	1.643	1.568	1.531	1.756	1.431	1.041	1.690	1.756	1.663	1.568	1.833	1.477	1.653	1.322	1.415	1.204	1.602	1.690	1.643	1.519	1.580	1.279	0.699	1.716	1.740	1.613	1.544	1.708	
SERPINH1	0.699	0.954	0.845	0.778	1.041	0.845	0.301	0.778	0.477	0.699	0.778	0.954	0.778	1.000	0.477	0.699	0.699	1.079	0.000	0.477	0.477	1.176	0.699	0.477	0.778	1.079	0.477	0.477	0.903	0.845	1.000	0.845	0.602	1.079	0.602	0.903	0.778	0.778	0.699	0.778	0.778	0.903	1.146	0.903	
SET	0.000	0.477		0.477	0.778	0.301	0.000								0.301			0.845				0.699	0.000					0.477	0.301	0.778	0.845	0.000		0.954		0.778	0.954	0.903	0.602	0.477			0.845	0.602	
SEZ6L2			0.000	1.079			0.000	0.602			0.477	0.477	0.301	0.301		0.699	0.699	0.778		0.301	0.000		0.699		0.000	0.301	0.477			0.000		0.000	0.301	0.778		0.477	0.301	0.000		0.477	0.477	0.000	0.000	0.778	
SFRP4	0.845	0.954	1.255	0.778	0.477	1.079	1.146	0.903	0.954	1.279	0.778	1.301	1.322	1.301	1.114	1.146	1.079	0.602	0.699	1.079	1.000	1.041	0.778	1.279	0.778	1.041	0.778	1.000	0.699	0.699	0.602	0.602	0.845	0.477	0.954	0.954	0.699	1.041	0.602	0.954	1.146	1.079	0.699	0.903	
SGSH				0.778		0.000	0.602	1.000	0.000	0.778	0.699	1.000	0.301		0.000		1.041			0.903			0.845	0.301	0.845	0.602	0.845						0.000	0.000				0.301		0.602	1.041	0.699		0.699	
SIAE	1.114	1.146	1.322	1.462	1.255	1.301	1.431	1.431	1.079	1.462	1.230	1.255	1.146	1.342	1.431	1.230	1.279	1.380	0.903	1.279	1.301	0.000	1.230	1.342	1.398	1.041	1.531	0.903	1.079	1.462	1.398	0.477	1.380	1.462	0.778	1.079	1.000	1.230	0.699	1.447	1.255	1.204	1.204	1.491	
SIDT2	0.477	0.477	0.954	0.301	0.602	0.602	0.477	0.477	0.699	0.903	0.699	0.477	0.778	0.845	0.699	0.602	0.477	0.845	0.778	0.845	0.778	0.301	0.602	0.602	0.000	0.301	0.602	0.699	0.699	0.845	0.778		0.903	0.954	0.778	0.778	0.845	0.778	0.903	0.845	0.477	0.699	0.602	0.778	
SIGLEC1	0.903	0.699	0.778	1.000	0.778	1.000	1.079	1.146	0.477	0.903	0.845	1.079	0.699	1.000	0.000	0.903	0.778	0.602	0.602	0.778	0.699	0.602	1.041	0.602	0.477	0.477	1.079	0.699	0.699	0.477	0.699	0.000	0.845	0.845	0.903	0.845	0.954	0.778	0.000	1.079	0.954	0.778	0.778	1.146	
SIGLEC7	0.000	0.602	0.477	0.778	0.602	0.301	0.477	0.477	0.301	0.602	0.301	0.301	0.301	0.000	0.477	0.301	0.301	0.301		0.778	0.477		0.602			0.000			0.477	0.778	0.477	0.301	0.301	0.000	0.477	0.000	0.477			0.000			0.000	0.699	
