Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
FUT11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.301	0.000	0.000	0.000	0.000		0.000	0.000	0.000			0.000	0.000	0.000		0.000			0.000		0.000	0.000	0.000		0.301		0.000	0.000	0.000	0.000	0.000	0.000			0.000	
GAA	0.602	0.602	0.602	0.602	0.602	0.602	0.699	0.602	0.477	0.699	0.602	0.477	0.699	0.602	0.477	0.602	0.477	0.602	0.477	0.477	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.778	0.477	0.602	0.602	0.477	0.602	0.699	0.477	0.602	0.602	0.602	0.477	0.602	0.477	0.602	0.477	0.602	
GALC									0.000											0.477																									
GALNS		0.000	0.301	0.301		0.000	0.301	0.000	0.000	0.000		0.000	0.000	0.301		0.000	0.301	0.301		0.000	0.301		0.301	0.000	0.000		0.301		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.301			0.301	
GALNT3		0.000		0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.000	0.301		0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.301			0.301	
GALNT5			0.301	0.477				0.477	0.000	0.602		0.477	0.000	0.602		0.602	0.477			0.301			0.602			0.000								0.000				0.000		0.301	0.000	0.000	0.301	0.301	
GANAB	0.301	0.301	0.000	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.699	0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.301	
GAPDH	0.954	1.041	0.602	0.903	1.176	1.204	0.845	0.845	0.602	0.000	0.301	0.699	0.000		0.845	0.477	0.477	1.114	1.041	0.845	0.477	1.114	0.301	0.477			0.699	0.845	1.114	1.146	1.000	0.778	0.602	1.176	0.778	1.176	1.204	1.079	1.000	1.114	1.000	0.000	1.255	1.146	
GBA	0.477	0.477	0.477	0.602	0.602	0.602	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.301	0.699	0.477	0.477	0.602	0.602	0.477	0.477	0.301	0.602	0.301	0.602	0.602	0.477	0.477	0.477	0.477	0.301	0.602	0.602	0.602	0.477	0.778	
GDE1							0.000		0.000	0.000	0.000	0.000								0.000						0.000							0.000											0.000	
GDI1		0.000				0.000									0.000			0.301		0.000											0.000												0.000	0.000	
GGCX			0.000	0.301		0.301	0.477	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.301		0.000			0.301	0.477	0.000						0.301			0.000			0.301	0.000		0.000	0.301	
GGH	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	
GGT1	0.477		0.000	0.000	0.301	0.000	0.000	0.301	0.000		0.000	0.477		0.000	0.000	0.000	0.301	0.000	0.477	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.477	0.000		0.000	0.000	0.477	0.000	0.000	0.477	0.000	0.000	0.000	0.000	
GGT5	0.000		0.000	0.000	0.000	0.602	0.699	0.602	0.602	0.602	0.000	0.477	0.602	0.602	0.301	0.477	0.301		0.000	0.699	0.301		0.699	0.778		0.000	0.602		0.301	0.000				0.699	0.602	0.000	0.000	0.000		0.301	0.477	0.602	0.301	0.301	
GGT7	0.699	0.699	0.602	0.699	0.477	0.477	0.301	0.602	0.699	0.301	0.477	0.301	0.602	0.602	0.301	0.602	0.699	0.602	0.602	0.699	0.602	0.699	0.699	0.477	0.477	0.000		0.602	0.602	0.602	0.602	0.602	0.477	0.699	0.699	0.699	0.699	0.699	0.602	0.699	0.699	0.301	0.000	0.602	
GLA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.301	0.000		0.301	
GLB1	0.000	0.301	0.477	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.477	0.000	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.301	
GLCE		0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.000	0.000		0.301	0.301		0.301	0.301	0.301	0.301	0.301		0.000	0.000	0.000		0.301	0.301	0.000	0.301	0.000	0.301		0.301	0.000	0.301		0.602	
GLG1	0.477	0.000	0.602	0.602	0.477	0.477	0.301	0.602	0.602	0.602	0.699	0.602	0.477	0.477	0.602	0.301	0.602	0.477	0.602	0.602	0.301	0.477	0.699	0.477	0.477	0.477	0.602	0.602	0.301	0.301	0.301	0.301	0.602	0.301	0.301	0.477	0.301	0.477	0.301	0.602	0.699	0.477	0.477	0.477	
GLMP	0.301	0.301	0.477	0.301	0.301	0.000	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.477	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.301	0.000	0.301	0.301	0.301		0.301	0.301	0.301	0.477	0.000	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.477	
GLT8D1	0.301		0.301	0.477	0.000	0.000	0.301	0.000	0.301	0.602	0.301	0.301	0.477	0.477	0.000	0.477	0.477	0.000	0.000	0.301	0.000		0.301	0.477	0.301	0.602	0.301	0.000	0.000	0.000	0.000		0.301	0.477	0.000	0.477	0.000	0.301	0.000	0.477	0.477	0.000	0.301	0.477	
GNAI1		0.000		0.000	0.301	0.000	0.000	0.000	0.000			0.000			0.000			0.000				0.000	0.000				0.000		0.301		0.000					0.000		0.000	0.000		0.000		0.000	0.000	
GNPTAB	0.477	0.477	0.477	0.954	0.477	0.301	0.699	1.000	0.778	0.699	0.477	0.301	0.477	0.602		0.602	0.699	0.301		0.903	0.602	0.301	0.845	0.903	0.000	0.477	0.477	0.301		0.301	0.301	0.000	0.477	0.903	0.000	0.602	0.477	0.301	0.477	0.000	0.602	0.301	0.602	0.778	
GNS	0.845	0.778	0.699	0.845	0.778	0.602	0.778	0.699	0.699	0.699	0.602	0.602	0.602	0.602	0.477	0.602	0.778	0.699	0.903	0.903	0.602	0.602	0.602	0.778	0.602	0.602	0.699	0.845	0.602	0.778	0.778	0.778	0.845	0.845	0.699	0.778	0.699	0.845	0.602	0.602	0.699	0.602	0.477	0.778	
GOLM1	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.000	0.301	
GP5								0.301	0.000							0.000																													
GPC3					0.000					0.301																																			
GPI	0.000	0.301			0.477	0.301												0.000	0.000			0.602					0.301		0.301	0.000	0.000			0.301		0.301	0.000	0.301	0.000	0.000	0.000		0.000	0.301	
GPLD1	0.000			0.000	0.000			0.000	0.000	0.000		0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000		0.301		0.000		0.000	0.000		0.000	0.000	0.301				0.000	0.000	0.000		0.000	0.000				
GPNMB	0.477	0.301	0.845	0.954	0.699	0.845	1.041	0.954	0.845	0.954	0.778	0.954	1.000	0.903	1.000	0.778	0.954	0.778	0.301	1.041	0.845	0.000	1.041	0.845	0.699	0.903	0.903	0.699	0.699	0.301	0.845	0.477	1.114	0.903	0.477	0.699	0.477	0.602	0.477	0.845	0.954	0.903	0.778	0.903	
GPR107	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	
GRIK3				0.000												0.000				0.301	0.000	0.000																							
GRN		0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.301		0.301	0.301			0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000			0.000	0.000		0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	
GSN		0.000			0.301	0.301												0.000	0.000			0.301							0.477	0.000	0.000			0.301		0.000	0.301	0.000	0.477	0.477			0.845	0.000	
GSTP1	0.602	0.903		0.000	0.903	0.778	0.000	0.000				0.000					0.000	0.699	0.301		0.000	0.699	0.000					0.000	0.602	0.778	0.699	0.000		0.778		0.778	0.845	0.602	0.699	0.477	0.000		0.778	0.602	
GUSB	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.000	0.301	0.477	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.477	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
GXYLT1	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.301	0.477	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.000	0.000	0.477	
H1F0						0.000												0.000				0.000							0.000	0.000		0.000					0.000		0.000				0.301		
H2AFV																																		0.000									0.301		
H2AFY		0.301			0.000	0.301																0.301							0.000		0.000			0.000		0.477	0.000		0.477				0.301	0.301	
H2BFS	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	
H6PD	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.477	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.477	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	
HADHA			0.000		0.000																									0.000	0.301					0.000									
HAPLN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.301	0.301		0.000	0.000	0.000	0.000	0.301	0.000		0.301	0.000	0.000		0.000	
HBA1	0.699	0.903	0.699	0.954	0.903	1.079	0.954	0.778	0.954	0.602	0.778	1.114	0.301	0.477	0.778	0.903	0.778	1.000	0.778	0.778	0.778	0.903	0.845	0.699	0.699	0.699	0.845	1.114	1.301	0.903	1.146	0.845	0.699	1.079	0.903	0.903	0.903	1.000	0.845	0.845	0.845	0.903	1.204	0.954	
HBB	0.699	0.778	0.477	0.778	0.699	0.845	0.903	0.778	0.845	0.602	0.602	0.845	0.301	0.301	0.602	0.699	0.699	0.845	0.699	0.602	0.477	0.699	0.778	0.602	0.301	0.602	0.699	0.845	0.903	0.699	0.903	0.699	0.477	0.699	0.602	0.699	0.699	0.845	0.778	0.845	0.778	0.845	0.903	0.699	
HBD									0.000			0.301						0.000											0.301		0.602							0.000					0.477		
HDGF		0.000																				0.000							0.000		0.000								0.000				0.000		
HEG1	0.000	0.301	0.000	0.000	0.301	0.000	0.000		0.000	0.301		0.000	0.301	0.477	0.301	0.301		0.301		0.000		0.000	0.000	0.000		0.000	0.301	0.000	0.000	0.000	0.301	0.000			0.301	0.301	0.000	0.301		0.000		0.000	0.000	0.301	
HEXB	0.000	0.000	0.477	0.477	0.000	0.477	0.602	0.477	0.699	0.301	0.602	0.301	0.477	0.000	0.301	0.301	0.477	0.000	0.000	0.778	0.000	0.000	0.477	0.778	0.477	0.301	0.699	0.000	0.301	0.000	0.000	0.000	0.699	0.477	0.301	0.000	0.000	0.301		0.477	0.477	0.301	0.699	0.477	
HGSNAT	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000		0.301	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.000	
HIST1H1B																		0.000				0.477									0.000						0.000	0.000	0.000				0.301		
HIST1H1E	0.000	0.301			0.477	0.699	0.301								0.000			0.301	0.301		0.000	0.477						0.477	0.477	0.301	0.301	0.000		0.699	0.000	0.477	0.301	0.301	0.301	0.301			0.477	0.301	
HIST1H2AA						0.301																																		0.000					
HIST1H2BB	0.301	0.301			0.301	0.301			0.000							0.000		0.301	0.000	0.301	0.000	0.301						0.301	0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.000			0.301		
HIST1H3D	0.301	0.000	0.477	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000		0.301	0.000		0.000	0.000	0.000	0.301	0.000	0.301		0.000	0.000	0.000	0.301	0.301			0.301	0.301	0.000	0.301	0.000	
HIST1H4A	0.778	0.778	0.699	0.602	0.778	0.778	0.778	0.602	0.778	0.602	0.699	0.699	0.602	0.301	0.778	0.602	0.602	0.778	0.778	0.778	0.699	0.845	0.602	0.778	0.699	0.699	0.778	0.778	0.778	0.778	0.845	0.778	0.778	0.778	0.778	0.778	0.778	0.778	0.778	0.778	0.699	0.778	0.778	0.778	
HLA-A	0.301	0.477	0.477	0.602	0.699	0.301	0.477	0.301	0.477	0.602	0.602	0.301	0.602	0.301	0.301	0.699	0.301	0.602	0.301	0.477	0.477	0.000	0.477	0.602	0.301	0.477	0.602	0.301	0.301	0.477	0.699	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.602	0.699	0.477	0.477	0.602	
HLA-B	0.000	0.000	0.301	0.000	0.000	0.301	0.477	0.301	0.000	0.602	0.602	0.000	0.477	0.000	0.301	0.000	0.000	0.301	0.000	0.477	0.301	0.000	0.602	0.000	0.000	0.477	0.000	0.301	0.000	0.000	0.301	0.000	0.477	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
HLA-C	0.477	0.477	0.477	0.602	0.477	0.477	0.602	0.602	0.477	0.602	0.477	0.477	0.602	0.477	0.477	0.602	0.301	0.477	0.477	0.602	0.602	0.477	0.477	0.301	0.301	0.477	0.602	0.301	0.477	0.477	0.477	0.301	0.602	0.477	0.477	0.602	0.301	0.477	0.301	0.602	0.477	0.602	0.602	0.602	
HLA-DQA1	0.301	0.301	0.602	0.477	0.301	0.301	0.477	0.301	0.602	0.477	0.301	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.000	0.602	0.477	0.477	0.301	0.477	0.301	0.602	0.602	0.477	0.301	0.477	0.301	0.477	0.602	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.602	0.301	
HLA-DRA	0.602	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.602	0.845	0.477	0.477	0.477	0.602	0.602	0.602	0.477	0.477	0.602	0.602	0.477	0.602	0.477	
HLA-DRB1	0.301	0.000	0.301	0.477	0.301	0.000	0.000	0.602	0.000	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.000	0.477		0.301	0.000	0.301	0.301	0.301	0.000	0.477	0.000	0.301	0.000	0.301	0.477	0.301	0.000	0.301	
HLA-DRB5	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301		0.301	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.477	0.301	0.301	0.301	
HLA-E		0.000	0.000	0.000			0.000	0.000	0.000	0.000			0.000	0.000	0.301		0.000			0.000			0.000			0.000	0.000		0.000		0.000						0.000	0.000		0.000		0.000		0.301	
HMCN1	0.000	0.301	0.000	0.845	0.000	0.778	0.845	0.301	0.000	0.699		0.602	0.477	0.000	0.477	0.000	0.602	0.000	0.000	0.602	0.301	0.000	0.778	0.699	0.000	0.602	0.477	0.000	0.477	0.301				0.301	0.477	0.301	0.000	0.000		0.602	0.602		0.301		
HMGB1		0.301			0.301	0.301	0.000											0.301				0.000	0.000						0.000	0.301	0.477			0.301	0.000	0.301	0.301	0.477	0.301				0.477	0.000	
HMGB2				0.000												0.000							0.000								0.000												0.000		
HNRNPA1	0.477	0.602		0.000	0.699	0.477	0.301				0.301		0.000		0.301	0.000		0.602	0.477		0.000	0.301	0.000	0.000	0.000			0.301	0.477	0.477	0.602	0.000	0.000	0.602	0.301	0.602	0.477	0.477	0.477	0.301	0.000	0.301	0.699	0.602	
HNRNPA2B1	0.477	0.000		0.000	0.477	0.778		0.000				0.000						0.699	0.000		0.301	0.699	0.000		0.000		0.000	0.000	0.477	0.477	0.477	0.000	0.000	0.477	0.000	0.301	0.301	0.477	0.000	0.477	0.301		0.699	0.477	
HNRNPA3	0.000	0.477		0.000	0.301	0.477	0.000									0.000		0.602	0.000			0.000	0.000						0.602	0.477	0.477	0.477		0.602	0.301	0.602	0.477	0.602	0.000	0.301			0.477	0.301	
HNRNPAB					0.000													0.000													0.000					0.301			0.000						
HNRNPC					0.699	0.301												0.477				0.477							0.000		0.301			0.301		0.699	0.602	0.000	0.000	0.000			0.602	0.000	
HNRNPD	0.301	0.301			0.000													0.301	0.000			0.477						0.000	0.000	0.301	0.301	0.000		0.301	0.000	0.301	0.000	0.301	0.000	0.000			0.000		
HNRNPH1	0.000	0.301			0.602	0.000												0.477				0.000							0.000	0.301	0.477			0.301		0.602	0.602	0.477	0.000				0.301	0.301	
HNRNPK	0.301	0.477		0.000	0.602	0.602	0.000				0.000							0.301	0.000	0.000		0.699					0.000	0.301	0.477	0.000	0.477	0.000		0.778		0.699	0.477	0.602	0.477	0.000	0.000		0.954	0.602	
HNRNPL					0.000													0.000				0.000									0.000			0.000		0.000	0.000	0.000							
HNRNPM		0.000			0.000													0.301																		0.000							0.000		
HNRNPR						0.000																												0.000			0.000						0.000		
HNRNPU		0.000	0.000		0.477	0.477												0.301				0.000							0.000		0.000			0.000		0.000	0.301	0.000					0.477		
HP	1.041	0.903	0.903	1.114	0.903	1.079	1.322	1.079	1.255	1.000	1.114	1.204	1.146	0.903	1.146	1.041	1.041	1.000	1.041	1.000	0.845	1.000	1.041	1.204	1.000	0.903	1.146	1.176	1.255	0.845	0.954	1.041	1.041	1.176	1.146	0.954	1.204	0.954	0.778	1.041	1.041	1.041	1.230	1.146	
HPSE			0.000	0.301			0.000	0.477	0.000			0.000				0.301	0.301			0.477	0.301		0.301			0.000	0.301															0.301	0.000	0.301	
HPX	0.778	0.699	0.477	0.602	0.699	0.602	0.778	0.699	0.477	0.602	0.477	0.845	0.845	0.602	0.778	0.778	0.477	0.602	0.602	0.477	0.699	0.699	0.602	0.699	0.477	0.477	0.602	0.477	1.000	0.477	0.477	0.602	0.477	0.699	0.602	0.602	0.699	0.699	0.477	0.954	0.602	0.602	0.778	0.602	
HRG	0.602	0.000	0.477	0.602	0.699	0.845	0.699	0.699	0.602	0.477	0.477	0.699	0.778	0.602	0.778	0.602	0.699	0.477	0.602	0.602	0.477	0.000	0.699	0.699	0.477	0.477	0.845	0.301	0.699	0.477	0.477	0.301	0.602	0.602	0.602	0.477	0.301	0.301	0.301	0.699	0.602	0.477	0.602	0.602	
HSD11B1	0.000						0.000													0.000															0.000										
HSP90AA1	0.778	0.699	0.000	0.000	0.954	0.845		0.000			0.000				0.301			0.903	0.845			0.903	0.000					0.301	0.903	0.699	1.000	0.699		0.845		0.903	1.000	0.778	0.778	0.000			0.903	0.903	
HSP90AB1	0.477	0.477		0.000	0.602	0.699	0.000					0.000	0.477	0.000	0.301			0.699	0.000		0.000	0.903	0.000	0.301		0.000	0.000	0.477	0.301	0.699	0.845	0.477		0.699	0.301	0.699	0.778	0.778	0.477	0.602	0.301		1.000	0.602	
HSP90B1	0.954	1.000	0.845	0.699	1.079	1.079	0.845	0.778	0.778	0.845	0.954	0.602	0.903	0.778	0.778	0.845	0.602	1.114	1.000	0.903	0.845	1.114	0.699	1.000	0.778	0.778	0.778	0.845	0.903	0.845	1.041	0.699	0.903	1.255	0.778	0.954	1.000	0.903	0.845	1.000	0.602	0.845	1.146	0.903	
HSPA13	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
HSPA1A	0.477	0.699			0.778	0.699	0.301				0.000							0.845	0.602		0.000	0.477	0.000				0.000	0.477	0.699	0.778	1.079	0.301		0.699		0.954	1.041	0.954	0.903	0.477			0.845	0.477	
HSPA5	0.301	0.000			0.301	0.602		0.000			0.000							0.602	0.000			0.301	0.000				0.000		0.699	0.602	0.699	0.000		0.903		0.602	0.699	0.000	0.301				0.954	0.301	
HSPA8	0.477	0.699			0.778	0.602	0.301					0.000			0.000			0.602	0.477			0.845	0.301				0.000	0.000	0.699	0.699	0.602	0.477		0.699		0.778	0.778	0.778	0.699	0.699	0.301		0.954	0.477	
HSPA9		0.000			0.000	0.000												0.000												0.000	0.477					0.000	0.000	0.000					0.301		
HSPB1	0.000	0.477		0.000	0.699	0.602	0.000	0.000							0.000			0.477	0.000	0.000	0.000	0.301		0.000			0.000		0.301	0.477	0.602	0.000		0.477		0.602	0.477	0.301	0.602	0.477	0.000		0.778	0.000	
HSPD1	0.000	0.301		0.477	1.079	0.954	0.602	0.000	0.477			0.000			0.477			0.845	0.954	0.477		0.699	0.301		0.000		0.301	0.477	0.954	0.845	1.041	0.477	0.301	0.778		1.000	1.000	0.602	0.778	0.477	0.000		1.041	1.000	
HSPE1	0.301	0.477	0.000	0.301	0.477	0.477	0.000	0.301				0.301			0.301			0.602	0.301		0.000	0.477					0.301	0.000	0.477	0.477	0.602	0.000		0.477	0.000	0.699	0.602	0.477	0.477	0.301	0.000		0.699	0.477	
HSPG2	0.845	0.845	0.954	1.079	0.954	1.041	1.114	1.000	1.204	1.079	1.041	1.114	1.079	1.146	1.079	1.114	1.079	1.079	0.845	1.079	0.954	0.699	1.146	1.079	1.041	1.204	1.079	1.041	1.041	0.778	0.845	0.602	0.903	1.079	0.845	1.000	0.903	1.079	0.778	1.041	1.176	1.146	1.114	1.146	
HYOU1	0.845	0.845	0.845	1.000	0.845	0.954	0.954	1.041	0.954	1.000	0.954	0.954	1.000	0.903	0.954	0.954	1.000	0.845	0.845	1.000	0.903	0.778	0.954	0.845	0.845	0.903	1.000	0.954	0.903	0.845	0.845	0.778	0.903	0.954	0.845	0.845	0.845	0.845	0.778	0.954	1.000	0.954	0.845	1.000	
ICAM1	0.477	0.477	0.477	0.778	0.477	0.699	0.602	0.602	0.602	0.602	0.602	0.477	0.602	0.602	0.602	0.477	0.699	0.477	0.477	0.602	0.477	0.477	0.602	0.301	0.301	0.602	0.699	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.602	0.699	0.477	0.477	0.602	
ICAM2	0.301	0.301	0.301	0.477	0.477	0.477	0.602	0.301	0.477	0.602	0.301	0.602	0.301	0.477	0.477	0.477	0.477	0.000	0.000	0.477	0.301	0.301	0.602	0.477	0.000	0.301	0.301	0.000	0.000	0.301	0.477	0.000	0.301	0.602	0.301	0.000	0.000	0.301	0.000	0.301	0.477	0.301	0.477	0.602	
