Gene	A6-3807-01A-22	A6-3808-01A-22	A6-3810-01A-22	AA-3518-01A-11	AA-3525-01A-12	AA-3526-01A-11	AA-3529-01A-12	AA-3531-01A-22	AA-3534-01A-22	AA-3552-01A-22	AA-3554-01A-22	AA-3558-01A-22	AA-3561-01A-22	AA-3664-01A-22	AA-3666-01A-31	AA-3672-01A-22	AA-3684-01A-31	AA-3695-01A-22	AA-3710-01A-22	AA-3715-01A-22	AA-3818-01A-22	AA-3848-01A-22	AA-3864-01A-22	AA-3986-01A-12	AA-3989-01A-22	AA-A004-01A-22	AA-A00A-01A-22	AA-A00A-01A-41	AA-A00E-01A-31	AA-A00F-01A-31	AA-A00J-01A-12	AA-A00K-01A-12	AA-A00K-01A-31	AA-A00N-01A-32	AA-A00N-01A-41	AA-A00O-01A-13	AA-A00R-01A-22	AA-A00R-01A-31	AA-A00U-01A-41	AA-A010-01A-31	AA-A017-01A-22	AA-A01C-01A-22	AA-A01D-01A-23	AA-A01F-01A-23	AA-A01I-01A-12	AA-A01K-01A-31	AA-A01P-01A-23	AA-A01R-01A-23	AA-A01S-01A-23	AA-A01T-01A-23	AA-A01V-01A-24	AA-A01X-01A-23	AA-A01Z-01A-13	AA-A022-01A-23	AA-A024-01A-32	AA-A029-01A-41	AA-A02E-01A-23	AA-A02H-01A-32	AA-A02J-01A-23	AA-A02O-01A-23	AA-A02R-01A-23	AA-A02Y-01A-31	AA-A03F-01A-41	AA-A03J-01A-23	AF-2691-01A-41	AF-2692-01A-41	AF-3400-01A-41	AF-3913-01A-12	AG-3574-01A-22	AG-3580-01A-22	AG-3584-01A-22	AG-3593-01A-22	AG-3594-01A-12	AG-4007-01A-22	AG-A002-01A-23	AG-A008-01A-23	AG-A00C-01A-23	AG-A00H-01A-22	AG-A00H-01A-31	AG-A00Y-01A-12	AG-A011-01A-32	AG-A014-01A-12	AG-A015-01A-51	AG-A016-01A-23	AG-A01J-01A-22	AG-A01L-01A-22	AG-A01N-01A-23	AG-A01W-01A-23	AG-A01Y-01A-43	AG-A020-01A-23	AG-A026-01A-71	AG-A02N-01A-31	AG-A02X-01A-32	AG-A032-01A-31	AG-A036-01A-22
NDUFA9	1.041	0.778	0.778	0.903	0.301	0.699	0.845	0.477	0.778	0.845	1.000	1.000	0.778	0.954	0.845	0.778	0.903	1.041	0.903	0.602	0.903	0.845	0.903	0.954	1.041	0.954	0.845	0.903	0.699	0.903	0.602	0.602	0.699	0.699	0.301	1.041	1.000	0.903	0.954	0.954	1.000	0.845	0.778	0.699	0.778	1.000	0.699	0.954	0.778	0.602	0.845	0.903	0.301	1.000	0.477	0.778	0.903	0.699	0.778	0.845	0.954	0.778	0.954	0.845	0.602	0.903	0.602	0.903	0.903	0.699	0.477	0.602	0.903	0.903	0.699	1.000	0.699	1.000	0.778	0.602	1.000	0.903	0.778	0.477	0.845	1.000	0.845	0.778	0.954	0.845	0.903	0.699	0.699	0.903	0.477	
NDUFAB1	0.602	0.301	0.301	0.477	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.301	0.301	0.477	0.602	0.477	0.602	0.301	0.602	0.000	0.477	0.699	0.301	0.602	0.602	0.699	0.602	0.477	0.602	0.477	0.301	0.301	0.477	0.000	0.000	0.602	0.778	0.699	0.699	0.699	0.602	0.845	0.000	0.301	0.301	0.602	0.477	0.477	0.602	0.477	0.301	0.301	0.000	0.477	0.000	0.845	0.699	0.301	0.301	0.301	0.845	0.699	0.699	0.301	0.000	0.699	0.301	0.477	0.602	0.000	0.301	0.301	0.699	0.301	0.000	0.477	0.301	0.477	0.602	0.845	0.301	0.477	0.602	0.000	0.477	0.602	0.301	0.301	0.477	0.301	0.602	0.301	0.000	0.602	0.301	
NDUFAF2	0.000			0.301		0.301	0.000	0.301				0.477	0.000	0.000	0.301	0.301		0.000	0.000				0.301	0.000	0.477		0.477	0.000		0.477	0.000							0.000	0.477		0.301	0.301		0.477	0.000	0.301		0.477	0.602	0.301	0.301	0.477	0.301	0.301	0.000	0.000	0.301			0.602		0.301	0.000	0.602	0.301	0.602		0.301		0.000	0.301	0.301	0.000	0.000		0.477	0.301	0.000	0.301	0.477	0.301	0.477	0.301	0.477	0.000	0.301	0.301	0.000		0.477	0.301		0.000	0.301	0.000	
NDUFAF3	0.000		0.000	0.000				0.301		0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000				0.000		0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000					0.000	0.000	0.301	0.477	0.000	0.000	0.000		0.000	0.000	0.000	0.000		0.301			0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000		0.000	0.301	0.000	0.000		0.301	0.000	0.000			0.000	0.000	0.000	0.000	0.000		0.000		0.301	0.301	0.000	0.000	0.301			0.000	0.301	0.000			0.301	0.000		0.000	0.000	
NDUFAF4	0.000			0.000	0.000	0.000	0.000	0.477	0.000	0.000			0.000	0.000		0.301		0.000	0.000		0.301	0.000		0.301	0.000	0.000	0.000	0.000			0.301					0.477	0.000	0.000	0.301	0.000	0.301	0.000		0.000	0.301	0.000		0.000	0.301	0.301		0.477	0.000	0.301	0.301		0.000			0.000	0.301	0.301		0.477	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.301			0.477		0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.477	0.301	0.000	0.000	0.301	0.477	0.000		0.301	
NDUFAF5																						0.000			0.301											0.000								0.000								0.301					0.301	0.000				0.301			0.000												0.301		0.000																	
NDUFAF7			0.000					0.301					0.000	0.000											0.000			0.000			0.477					0.602					0.602			0.699	0.301			0.301		0.301		0.477		0.000			0.000	0.477		0.301		0.477			0.000	0.000				0.000		0.301		0.000			0.602		0.000	0.000	0.000	0.000		0.477	0.000		0.301			0.000	0.602					
NDUFB10	0.699	0.000	0.301	0.301	0.477	0.699	0.477	0.477	0.602	0.699	0.301	0.301	0.778	0.778	0.477	0.000	0.602	0.699	0.903		0.477	0.477	0.301	0.699	0.602	0.778	0.000	0.699	0.778	0.000	0.301		0.477		0.477	0.699	0.602	0.699	0.602	0.602	0.778	0.699	0.477	0.477	0.301	0.602	0.301	0.845	0.602	0.477	0.602	0.602	0.477	0.699	0.301	0.477	0.699	0.477	0.477	0.602	0.477	0.602	0.778	0.699	0.602	0.778	0.477	0.602	0.477		0.477	0.301	0.602	0.000	0.000	0.602	0.477	0.477	0.602	0.699	0.602	0.778	0.000	0.301	0.301	0.477	0.699	0.477	0.477	0.301	0.602	0.699	0.000	0.602	0.477	
NDUFB11	0.301	0.000	0.000	0.477	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000			0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.301	0.000			0.000	0.000		0.477	0.301	0.301	0.477	0.301	0.477	0.301	0.000		0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.301		0.301		0.301	0.477	0.000	0.000	0.000	0.301	0.477	0.000	0.301	0.000	0.301	0.000	0.301	0.477		0.301	0.000	0.301	0.000		0.301		0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.477		0.301	0.301		0.000	0.000	
NDUFB3						0.000		0.000			0.000	0.000	0.000	0.000		0.000		0.000	0.000					0.000							0.000					0.000	0.000		0.000	0.301	0.301	0.000				0.000		0.301		0.301		0.000		0.301	0.000		0.477			0.000	0.301		0.000	0.301		0.000	0.301	0.000			0.000		0.000	0.000		0.000	0.000		0.000	0.301	0.301	0.000	0.000			0.000	0.000	0.000	0.477			0.000			0.301	
NDUFB4	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.000		0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301		0.301	0.301	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.000		0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.000		0.301	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.000	0.301		0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.000	0.477	0.301	0.000	0.000	0.000	0.477	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.301	
NDUFB5									0.000					0.000		0.000		0.000	0.000			0.000		0.000		0.000												0.000			0.000						0.000	0.000		0.301				0.301		0.000	0.000						0.000	0.000			0.000	0.000													0.000			0.000		0.000										
NDUFB6	0.000		0.000			0.000	0.000		0.000	0.301	0.000	0.301		0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.301	0.301	0.000		0.000	0.000				0.000	0.000			0.000	0.301	0.000	0.000	0.301	0.000			0.000			0.000	0.301		0.000			0.301		0.000	0.000					0.000	0.000			0.000		0.000			0.000		0.000			0.301			0.000	0.000			0.000		0.301	0.000	0.301	0.000	0.000		0.000					
NDUFB7	0.000	0.000		0.000		0.301		0.000	0.301	0.000	0.000					0.000	0.000	0.301	0.301		0.301			0.000	0.000	0.000			0.000	0.301			0.000				0.301		0.301	0.000		0.301				0.000	0.000	0.000		0.000			0.000	0.000	0.000		0.301		0.000				0.000			0.000		0.301	0.000									0.000	0.000	0.000	0.301				0.000	0.000	0.000		0.000					0.000	0.000	
NDUFB8	0.301	0.000		0.301		0.000	0.000		0.301	0.000	0.000	0.301	0.000	0.301		0.000	0.301	0.301			0.000	0.301		0.000	0.301	0.000	0.477	0.301	0.000	0.301	0.000	0.301	0.000			0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.000		0.301	0.301	0.301	0.301	0.301	0.000	0.301			0.477	0.000		0.477	0.000	0.000	0.301	0.301		0.301	0.000		0.301	0.000		0.301			0.000			0.000	0.301	0.000	0.301	0.000	0.477	0.301	0.000	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301		0.301	0.000	
NDUFB9	0.602	0.301		0.477		0.000	0.699	0.000	0.602	0.301	0.477	0.301	0.477	0.602		0.000	0.301	0.477	0.602		0.477	0.477	0.000	0.602	0.477	0.778	0.000	0.301	0.301	0.000	0.000		0.000		0.301	0.301	0.602	0.602	0.301	0.699	0.778	0.699	0.000	0.000	0.301	0.301		0.477	0.301	0.000	0.477	0.000		0.699	0.000		0.602	0.301	0.301	0.477	0.699		0.477	0.477	0.000	0.699	0.301	0.301	0.301		0.000	0.602	0.000	0.301	0.000	0.602	0.000	0.301	0.000	0.602	0.699	0.477	0.000		0.301	0.778	0.301	0.301	0.602	0.699	0.477	0.301	0.301	0.778	0.301	
NDUFC2						0.000			0.000			0.000				0.000		0.301				0.000		0.000	0.000		0.000				0.000							0.000		0.000	0.000					0.000		0.000	0.000	0.000		0.000		0.000	0.000		0.000							0.301		0.000										0.000			0.000		0.301			0.000	0.000	0.000	0.000					0.000				
NDUFS1	1.114	1.204	0.903	1.255	0.477	1.230	1.362	1.041	1.279	1.204	1.322	1.114	0.903	1.279	0.699	1.041	1.230	1.279	1.255	0.301	1.079	1.255	1.230	1.255	1.079	1.415	1.146	1.255	1.041	1.204	0.778	0.954	1.114	0.301	0.699	1.342	1.204	1.255	1.255	1.204	1.415	1.380	0.699	0.301	0.845	1.230	1.079	1.322	1.255	1.230	1.114	1.114	0.699	1.301	1.079	1.204	1.380	1.000	0.954	1.176	1.176	0.954	1.301	0.903	0.602	1.362	1.000	1.204	1.255	0.699	1.114	1.114	1.114	1.000	0.778	1.279	0.845	1.279	1.255	1.398	1.301	1.114	1.204	0.778	1.279	1.362	1.255	0.903	1.342	1.079	0.954	1.230	0.845	1.230	1.114	
NDUFS2	0.477	0.699	0.301	0.699	0.301	0.301	0.602	0.477	0.699	0.699	0.602	0.477	0.477	0.699	0.301	0.845	0.602	0.699	0.602	0.301	0.699	0.903	0.000	0.699	0.845	0.845	0.477	0.778	0.477	0.954	0.477	0.477	0.301	0.000		0.699	0.845	0.845	0.699	0.301	0.845	0.903		0.301	0.602	0.699	0.602	0.903	0.845	0.477	0.477	0.778	0.301	0.903	0.301	0.477	0.845	0.477	0.477	0.602	0.301	0.477	0.903	0.477	0.000	0.845	0.000	0.778	0.602	0.477	0.301	0.602	0.602	0.778	0.602	0.778	0.477	0.699	0.602	0.845	0.699	0.477	0.477	0.000	0.602	0.699	0.699	0.000	0.602	0.477	0.301	0.602	0.000	0.845	0.477	
NDUFS3	1.000	0.845	0.699	0.778	0.699	0.602	0.903	0.699	0.954	0.845	0.954	0.778	0.778	0.778	0.699	0.778	0.903	0.845	0.954	0.699	0.778	0.954	0.845	0.845	0.903	0.954	0.778	0.903	0.699	0.778	0.778	0.602	0.699	0.699	0.778	0.845	0.954	0.845	0.845	0.903	0.845	0.954	0.778	0.699	0.845	0.903	0.845	1.000	0.778	0.699	0.845	0.778	0.602	0.903	0.903	0.778	0.845	0.778	0.778	0.845	0.903	0.845	0.845	0.699	0.699	0.845	0.699	0.845	0.954	0.845	0.778	0.778	0.699	0.778	0.602	0.903	0.778	0.845	0.778	0.778	1.041	0.845	0.903	0.778	0.954	0.954	0.699	0.903	0.845	0.778	0.778	0.903	0.903	0.954	0.699	
NDUFS4	0.477	0.301	0.000	0.301		0.301	0.477	0.301	0.000	0.000	0.000			0.000		0.301	0.000				0.000	0.477		0.301	0.000	0.477		0.000	0.301	0.000		0.301			0.000		0.477	0.301	0.000	0.000		0.477	0.000		0.000	0.477	0.301		0.301	0.477	0.000		0.000	0.301	0.000	0.301	0.477	0.301	0.301	0.000	0.477	0.000	0.477			0.477		0.301	0.301		0.477	0.477	0.477		0.000	0.301		0.477	0.477	0.477	0.000		0.301		0.301	0.000	0.477	0.477		0.301	0.301			0.477	0.000	
NDUFS5	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.000	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.301	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.477	0.301		0.301	0.477	0.301	0.602	0.301	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.477	0.301	0.301	0.301	0.000	0.301	0.301	0.301		0.602	0.000	0.477	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.000	0.000	0.602	0.301	
NDUFS6	0.301	0.778	0.000	0.477	0.000	0.301	0.477	0.000	0.602	0.000	0.301	0.477	0.301	0.000	0.301	0.477	0.477	0.477	0.000	0.000	0.477	0.699	0.000		0.477	0.477	0.301	0.000	0.602	0.301	0.301	0.000	0.301		0.477	0.477	0.699	0.301	0.301	0.602	0.602	0.845	0.000		0.000	0.602	0.301	0.602	0.699	0.602	0.699	0.477		0.000		0.301	0.699	0.301	0.301		0.778		0.602		0.000	0.477	0.000	0.301	0.477		0.477	0.000	0.477	0.000	0.301	0.301	0.000	0.699	0.699	0.602	0.778	0.000	0.602		0.477	0.000	0.602	0.301	0.301	0.000	0.602	0.477		0.778	0.477	
NDUFS7	0.000	0.000	0.000	0.477	0.000	0.699	0.301	0.477	0.000	0.301	0.477	0.000	0.000	0.301	0.000	0.602	0.602	0.301	0.477			0.477	0.000	0.477	0.301	0.477	0.301	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.477	0.301	0.301	0.602	0.477	0.000	0.000	0.301	0.301	0.301	0.477	0.602	0.477	0.301	0.000	0.301	0.477	0.301	0.000	0.602	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.477	0.477	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.699	0.602	0.000	0.477		0.477	0.477	0.477	0.000	0.301	0.000	0.301	0.477	0.000	0.477	0.000	
NDUFS8	0.477	0.602	0.301	0.477	0.301	0.602	0.602	0.301	0.699	0.477	0.602	0.477	0.477	0.477	0.000	0.699	0.699	0.477	0.699	0.301	0.301	0.477	0.699	0.602	0.477	0.699	0.699	0.602	0.477	0.602	0.301	0.602	0.301		0.000	0.602	0.699	0.602	0.778	0.699	0.699	0.778	0.301	0.301	0.477	0.699	0.602	0.602	0.301	0.301	0.602	0.477		0.602	0.477	0.477	0.602	0.477	0.301	0.477	0.602	0.699	0.602	0.602	0.477	0.602	0.301	0.602	0.477	0.000	0.477	0.477	0.301	0.602	0.301	0.477	0.477	0.602	0.477	0.477	0.602	0.602	0.477	0.301	0.477	0.477	0.602	0.000	0.699	0.477	0.301	0.301	0.301	0.602	0.477	
NDUFV1	0.845	0.602	0.301	0.954	0.477	0.778	1.000	0.778	0.954	0.845	0.954	0.845	0.477	0.699	0.000	0.845	0.602	0.845	0.602	0.301	0.699	0.954	0.903	1.041	1.000	1.000	0.845	0.954	0.699	0.699	0.602	0.845	0.699	0.000	0.301	0.699	0.903	0.954	0.699	0.903	0.954	1.000	0.000	0.477	0.301	1.000	0.602	0.954	0.954	0.903	0.845	0.602	0.301	1.041	0.477	0.845	1.079	0.477	0.301	0.477	1.041	0.602	0.954	0.301	0.301	1.041	0.477	0.477	0.903	0.477	0.477	0.845	0.699	0.699	0.778	0.845	0.845	0.778	0.954	0.954	1.000	0.602	0.845	0.000	0.778	1.000	0.954	0.903	0.699	0.477	0.699	0.699	0.000	1.000	0.778	
NDUFV2	0.301	0.301	0.000	0.477		0.301	0.699	0.000	0.778	0.301	0.000	0.000	0.000	0.602	0.000	0.477	0.477	0.602	0.477	0.000	0.602	0.602		0.845	0.000	0.778	0.602	0.845	0.301	0.477	0.301	0.477	0.477		0.000	0.602	0.602	0.778	0.477	0.477	0.845	0.845	0.000	0.000	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.954	0.000	0.477	0.778	0.301	0.000	0.000	0.845	0.602	0.301	0.301	0.000	0.778	0.000	0.477	0.778		0.000	0.477	0.301	0.301	0.301	0.602	0.301	0.477	0.477	0.778	0.602	0.000	0.301	0.301	0.602	0.845	0.477	0.000	0.477	0.301	0.301	0.301	0.301	0.477	0.301	
NDUFV3		0.000		0.000	0.000	0.602	0.477	0.301		0.301			0.000	0.000	0.000		0.000	0.000	0.477		0.000	0.477	0.301	0.000	0.477	0.477	0.301	0.000	0.000	0.301			0.301			0.602	0.477	0.000		0.000	0.301	0.301			0.000	0.000	0.000	0.602	0.000	0.778	0.301	0.477		0.000	0.301		0.699	0.000		0.000	0.477	0.000	0.000	0.477		0.477			0.602				0.000	0.000	0.000	0.301	0.000	0.301	0.602	0.602	0.699	0.301	0.301		0.000	0.602	0.602		0.000		0.602	0.477		0.477	0.477	
NEB	0.301		0.000	0.000		0.000		0.000	0.000	0.000	0.000		0.000		0.301		0.000	0.477	0.000				0.301	0.000	0.000	0.000			0.477	0.000	0.000		0.000		0.301				0.000	0.000	0.000	0.000	0.000		0.000			0.000		0.000		0.000	0.000		0.000	0.000	0.000	0.477	0.000			0.301	0.000	0.000	0.000	0.477				0.000	0.301	0.000				0.000	0.000	0.000	0.000	0.000		0.000	0.301	0.000	0.477	0.301	0.301	0.301		0.000	0.000	0.301		0.000	0.301	
NEBL	0.000		0.301	0.000		0.000	0.000	0.602				0.000	0.000		0.602			0.000			0.000	0.477	0.602	0.000	0.602	0.000	0.000	0.000	0.000	0.301	0.000				0.000	0.699		0.000	0.301		0.301	0.000		0.477	0.602				0.477	0.602	0.000	0.000		0.000	0.477	0.301	0.778	0.301	0.301	0.301	0.301	0.778	0.000	0.602	0.699	0.699	0.000	0.000	0.000	0.602	0.301	0.301	0.000	0.301	0.000	0.477	0.602	0.000	0.000	0.477	0.000	0.477	0.301	0.301	0.000	0.000	0.301			0.000	0.778	0.000	0.000	0.301	0.301	
NECAP2		0.000	0.000		0.000	0.301	0.000			0.000			0.000			0.000	0.000	0.000	0.000		0.000		0.301				0.000	0.301		0.000	0.000		0.000			0.000	0.301	0.301	0.000		0.301			0.000		0.000			0.000	0.477				0.000		0.000	0.301	0.000		0.000		0.301		0.000		0.477			0.000	0.000			0.000			0.000	0.000	0.000		0.000		0.301			0.000	0.000	0.000			0.000		0.301			0.000	
NEDD1								0.000														0.301														0.000												0.301	0.000												0.000	0.000		0.000										0.000		0.000					0.000			0.000			0.000					0.000				
NEDD4	0.000	0.301	0.301		0.000		0.000	0.000	0.000	0.301	0.477	0.477	0.301	0.000	0.477		0.000	0.000			0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.301	0.301				0.000	0.301	0.301	0.477	0.301		0.301	0.000		0.000	0.000				0.000		0.477	0.301	0.000		0.000	0.000	0.301	0.000			0.301	0.301	0.477	0.000	0.301		0.000		0.000	0.000	0.000		0.301	0.000	0.000		0.301	0.301	0.301		0.301		0.000	0.000	0.000		0.000		
NEDD4L						0.000		0.301																								0.000						0.000				0.000								0.000															0.000							0.000							0.000	0.000	0.000											0.000				
NEDD8					0.000		0.000				0.000	0.477			0.602							0.301	0.301	0.000			0.477		0.301	0.477					0.301	0.000	0.477	0.602		0.000				0.000	0.000			0.000	0.000		0.301			0.477	0.000	0.000				0.000	0.000		0.000	0.000		0.000			0.602	0.301	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.301				0.000	0.000	0.000			0.301	0.301	
NEK7		0.000		0.301		0.000				0.301				0.301								0.000		0.301				0.000	0.000		0.000		0.477	0.000		0.477												0.301		0.000						0.000	0.000					0.301				0.699					0.000		0.000							0.000			0.000				0.000		0.000							
NEK9	0.000	0.602	0.301	0.778	0.301	0.699	0.602	0.699	0.301	0.301	0.699	0.699		0.602		0.477		0.477	0.477	0.000	0.000	0.778	0.845	0.301	0.000	0.000	0.602	0.000	0.778	0.699	0.602	0.000	0.477	0.301			0.602	0.602	0.301	0.301	0.301	0.477	0.477	0.301	0.778	0.000	0.477	0.477	0.778	0.845	0.477	0.477	0.000	0.000	0.477	0.301	0.000	0.301	0.778	0.699	0.602	0.778	0.699	0.477	0.000	0.301	0.000	0.477	0.845	0.602	0.699	0.301	0.845	0.477	0.602	0.477	0.000	0.699	0.602	0.699	0.699	0.699	0.602	0.477	0.699	0.477	0.699	0.000	0.477	0.000		0.000		0.000	0.477	
NELFA	0.000		0.301		0.301	0.602	0.301	0.602	0.000	0.602	0.301	0.602	0.477	0.602	0.602	0.477		0.477	0.000		0.000	0.602	0.000	0.000	0.602	0.301	0.602	0.000	0.301	0.301	0.301	0.000				0.301		0.301	0.477		0.000	0.699	0.000	0.301	0.602	0.301		0.602	0.477	0.477	0.000	0.301	0.000	0.778	0.301	0.477	0.602	0.477	0.477	0.477	0.301	0.301	0.301	0.301	0.699	0.301		0.477	0.000	0.000	0.602	0.477	0.301	0.301	0.000	0.477	0.301	0.000	0.699	0.699	0.477	0.301	0.602	0.301	0.000	0.477	0.602	0.477		0.477	0.699	0.301	0.301	0.477	0.301	
NELFB	0.301	0.000	0.301	0.301	0.477	0.477	0.477	0.602	0.000	0.301	0.301	0.477	0.301	0.477	0.602	0.000	0.301	0.301	0.301	0.000	0.000	0.699	0.477	0.301	0.477	0.301	0.602	0.301	0.477	0.477	0.000	0.000	0.000	0.000		0.477	0.477	0.477	0.699	0.477	0.477	0.602	0.000	0.301	0.301	0.301	0.000	0.301	0.602	0.602	0.301	0.301	0.000	0.778		0.602	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.602	0.477	0.000	0.301	0.477	0.477	0.477	0.301	0.477	0.301	0.602	0.477	0.477	0.301	0.477	0.477	0.301	0.301	0.602	0.301	0.301	0.301	0.602	0.301	0.000	0.477	0.477	0.477	0.000	0.477	0.301	
NELFCD	0.301		0.301	0.301	0.000	0.477	0.000	0.301	0.301	0.301		0.477	0.301	0.000	0.477	0.000	0.000	0.602	0.000	0.000	0.000	0.699	0.301	0.301	0.477	0.477	0.477		0.000	0.301	0.301		0.000			0.477	0.301	0.301	0.477	0.000	0.602	0.477		0.301	0.301	0.000	0.301	0.477	0.301	0.301	0.301	0.000	0.602	0.699		0.301	0.699	0.477	0.000	0.477	0.301	0.602	0.301	0.301	0.301	0.699	0.000	0.301	0.000	0.301	0.699	0.000	0.301	0.000	0.000	0.301	0.477		0.301	0.602	0.301	0.301	0.477	0.301	0.477	0.477	0.602			0.301	0.477	0.000		0.301	0.301	
NELFE	0.000			0.000	0.000	0.000	0.000	0.301		0.000	0.000	0.301	0.301		0.000	0.000	0.000	0.301	0.000			0.301	0.000		0.602	0.000			0.301		0.000				0.000	0.000		0.000	0.000	0.000	0.301	0.301		0.000	0.477	0.000	0.000	0.477	0.477	0.301	0.000	0.000		0.000	0.000	0.301	0.301	0.000		0.000		0.000	0.000	0.000	0.602	0.301	0.000	0.477	0.000	0.000	0.000	0.000	0.301		0.000	0.000			0.301	0.477	0.000	0.000	0.301	0.000	0.000	0.000	0.477	0.301			0.301	0.000		0.000	0.301	
NEMF	0.000	0.000				0.000	0.000	0.301		0.000	0.000		0.477	0.000	0.000	0.301	0.000	0.000	0.301			0.477	0.000		0.301				0.000		0.301					0.000	0.000	0.301	0.000		0.000			0.301	0.000			0.477	0.301	0.000	0.000	0.477		0.000		0.301		0.000	0.000	0.000	0.301		0.000	0.602	0.477	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000		0.301	0.000	0.000	0.000	0.000		0.301	0.000	0.301				0.000				0.477	0.000		0.000	
NENF	0.000		0.000					0.000		0.000			0.000	0.301	0.301	0.000		0.000				0.000		0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.301	0.000	0.000	0.000		0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.477	0.301	0.301		0.778	0.000	0.301	0.477	0.000		0.000	0.000	0.477	0.000	0.000	0.301	0.477	0.301	0.000	0.477		0.000		0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.301		0.301	0.000	0.000	0.000	0.000	0.000			0.000	0.301		0.000	0.000	
NEO1								0.000				0.301	0.301						0.000		0.000		0.000										0.000			0.301		0.301		0.000					0.000			0.000	0.000		0.000								0.000	0.000		0.000	0.000		0.000					0.000			0.301			0.000					0.000	0.000			0.000	0.000		0.301	0.000	0.301	0.000	0.301	0.000		0.000	
NES	0.778	0.477	0.477	0.699	0.845	0.778	0.699	0.903	0.301	0.845	0.000		0.602	0.699	0.954	0.301	0.845	0.903	0.778		0.477	0.477	0.301	0.477	0.301	0.699	0.000	0.000	0.845	0.301	0.602	0.845	1.041	0.000	0.301	1.041	0.301		0.778	0.301	0.778	0.845	0.000	0.699	1.079	0.845	0.477		1.146	0.954	0.602	0.903	0.000			0.602	0.778	0.602	0.477		0.301	0.301	0.845	0.903	0.778	0.778	0.000	0.845	1.613	0.477	0.602	0.477	0.699	0.903	0.602	0.602	0.602	0.699	0.954	1.000	0.699	0.903	0.778	1.079	0.699	0.845	0.903	0.301	0.301	0.778	0.477	0.477	0.301	0.301	1.079	
NEU1			0.000			0.000		0.000		0.301			0.000															0.301		0.000	0.000					0.778			0.000		0.477			0.000	0.000		0.000	0.000	0.000	0.000		0.000	0.000	0.000				0.477		0.000				0.000	0.301			0.000				0.477		0.000		0.000	0.000		0.000	0.000	0.000	0.000		0.000	0.301		0.000			0.000	0.000	0.000			0.000	
NEXN	0.000	0.000	0.477		0.000	0.000	0.477	0.000									0.000	0.301			0.778	0.000		0.000	0.000			0.000		0.000	0.301	0.301	0.778	0.000		0.301	0.301		0.000			0.301	0.000			0.301	0.301		0.000	0.000	0.602	0.000			0.000		0.477					0.000		0.000		0.699	0.000				0.000		0.301			0.000	0.000	0.301	0.000	0.000				0.301	0.301		0.301	0.000	1.000		0.000				0.477	
